power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
53.40 W, 561 MiB, 14 %, 4 %
52.73 W, 561 MiB, 7 %, 2 %
50.98 W, 561 MiB, 7 %, 2 %
50.10 W, 561 MiB, 13 %, 4 %
49.13 W, 561 MiB, 13 %, 4 %
47.98 W, 561 MiB, 13 %, 4 %
47.20 W, 561 MiB, 7 %, 2 %
46.06 W, 561 MiB, 7 %, 2 %
45.96 W, 561 MiB, 13 %, 4 %
46.06 W, 561 MiB, 10 %, 4 %
45.38 W, 561 MiB, 10 %, 4 %
44.99 W, 561 MiB, 10 %, 3 %
44.79 W, 561 MiB, 10 %, 3 %
44.31 W, 561 MiB, 13 %, 4 %
44.31 W, 561 MiB, 7 %, 2 %
44.40 W, 561 MiB, 7 %, 2 %
44.50 W, 561 MiB, 13 %, 4 %
43.34 W, 561 MiB, 14 %, 5 %
43.43 W, 561 MiB, 14 %, 5 %
43.53 W, 561 MiB, 6 %, 2 %
43.72 W, 561 MiB, 6 %, 2 %
44.41 W, 561 MiB, 15 %, 4 %
44.60 W, 561 MiB, 13 %, 4 %
44.99 W, 561 MiB, 13 %, 4 %
45.76 W, 561 MiB, 7 %, 2 %
45.08 W, 561 MiB, 7 %, 2 %
46.54 W, 561 MiB, 15 %, 4 %
47.40 W, 561 MiB, 7 %, 2 %
49.52 W, 561 MiB, 7 %, 2 %
50.98 W, 561 MiB, 15 %, 4 %
51.76 W, 561 MiB, 15 %, 4 %
53.31 W, 561 MiB, 13 %, 4 %
50.02 W, 561 MiB, 7 %, 2 %
53.31 W, 561 MiB, 7 %, 2 %
56.03 W, 561 MiB, 14 %, 5 %
59.29 W, 691 MiB, 8 %, 2 %
52.51 W, 691 MiB, 8 %, 2 %
35.59 W, 561 MiB, 15 %, 5 %
35.49 W, 561 MiB, 15 %, 5 %
35.49 W, 561 MiB, 15 %, 5 %
35.49 W, 561 MiB, 7 %, 2 %
35.49 W, 561 MiB, 7 %, 2 %
35.59 W, 561 MiB, 15 %, 5 %
35.49 W, 561 MiB, 15 %, 5 %
35.59 W, 561 MiB, 8 %, 2 %
35.49 W, 561 MiB, 16 %, 5 %
35.68 W, 561 MiB, 16 %, 5 %
35.78 W, 561 MiB, 7 %, 2 %
35.98 W, 561 MiB, 15 %, 5 %
36.17 W, 561 MiB, 15 %, 5 %
36.36 W, 561 MiB, 10 %, 4 %
37.05 W, 561 MiB, 10 %, 4 %
37.73 W, 561 MiB, 13 %, 3 %
39.07 W, 561 MiB, 15 %, 5 %
40.72 W, 561 MiB, 15 %, 5 %
43.53 W, 561 MiB, 8 %, 2 %
47.80 W, 561 MiB, 8 %, 2 %
62.56 W, 691 MiB, 19 %, 5 %
35.59 W, 561 MiB, 7 %, 2 %
35.49 W, 561 MiB, 7 %, 2 %
35.39 W, 561 MiB, 15 %, 5 %
